LMJ.RY0402.046644,LMJ.RY0402.053100,LMJ.RY0402.059248,LMJ.RY0402.065798,LMJ.RY0402.079447,LMJ.RY0402.088419,LMJ.RY0402.099158,LMJ.RY0402.106540,LMJ.RY0402.114338,LMJ.RY0402.121612,LMJ.RY0402.127991,LMJ.RY0402.134254,LMJ.RY0402.140977,LMJ.RY0402.147903,LMJ.RY0402.162067,LMJ.RY0402.168572,LMJ.RY0402.176081,LMJ.RY0402.183000,LMJ.RY0402.190634,LMJ.RY0402.197890,LMJ.RY0402.204992,LMJ.RY0402.211408,LMJ.RY0402.216826,LMJ.RY0402.223494,LMJ.RY0402.230048,LMJ.RY0402.236229,LMJ.RY0402.243802,LMJ.RY0402.251929,LMJ.RY0402.039555,LMJ.RY0402.046340,LMJ.RY0402.147181,LMJ.RY0402.057681,LMJ.RY0402.196479,LMJ.RY0402.116194,LMJ.RY0402.195121,LMJ.RY0402.154846
LMJ.RY0402.046663,LMJ.RY0402.053131,LMJ.RY0402.059308,LMJ.RY0402.065832,LMJ.RY0402.079455,LMJ.RY0402.088435,LMJ.RY0402.099160,LMJ.RY0402.106588,LMJ.RY0402.114356,LMJ.RY0402.121658,LMJ.RY0402.127995,LMJ.RY0402.134261,LMJ.RY0402.140982,LMJ.RY0402.147947,LMJ.RY0402.162117,LMJ.RY0402.168579,LMJ.RY0402.176088,LMJ.RY0402.183004,LMJ.RY0402.190638,LMJ.RY0402.197894,LMJ.RY0402.205002,LMJ.RY0402.211441,LMJ.RY0402.216833,LMJ.RY0402.223535,LMJ.RY0402.230057,LMJ.RY0402.236237,LMJ.RY0402.243818,LMJ.RY0402.251999,LMJ.RY0402.039556,LMJ.RY0402.046343,LMJ.RY0402.147321,LMJ.RY0402.057760,LMJ.RY0402.196482,LMJ.RY0402.116224,LMJ.RY0402.195631,LMJ.RY0402.154849
LMJ.RY0402.046668,LMJ.RY0402.053148,LMJ.RY0402.059310,LMJ.RY0402.065839,LMJ.RY0402.079480,LMJ.RY0402.088461,LMJ.RY0402.099196,LMJ.RY0402.106604,LMJ.RY0402.114398,LMJ.RY0402.121690,LMJ.RY0402.128003,LMJ.RY0402.134301,LMJ.RY0402.141003,LMJ.RY0402.147961,LMJ.RY0402.162143,LMJ.RY0402.168583,LMJ.RY0402.176107,LMJ.RY0402.183043,LMJ.RY0402.190655,LMJ.RY0402.197909,LMJ.RY0402.205012,LMJ.RY0402.211445,LMJ.RY0402.216841,LMJ.RY0402.223542,LMJ.RY0402.230071,LMJ.RY0402.236255,LMJ.RY0402.243853,LMJ.RY0402.252011,LMJ.RY0402.039565,LMJ.RY0402.046345,LMJ.RY0402.147398,LMJ.RY0402.058147,LMJ.RY0402.196717,LMJ.RY0402.116558,LMJ.RY0402.196370,LMJ.RY0402.154858
LMJ.RY0402.046677,LMJ.RY0402.053151,LMJ.RY0402.059321,LMJ.RY0402.065889,LMJ.RY0402.079492,LMJ.RY0402.088466,LMJ.RY0402.099204,LMJ.RY0402.106606,LMJ.RY0402.114454,LMJ.RY0402.121698,LMJ.RY0402.128073,LMJ.RY0402.134311,LMJ.RY0402.141005,LMJ.RY0402.148030,LMJ.RY0402.162164,LMJ.RY0402.168586,LMJ.RY0402.176111,LMJ.RY0402.183123,LMJ.RY0402.190678,LMJ.RY0402.197910,LMJ.RY0402.205036,LMJ.RY0402.211449,LMJ.RY0402.216849,LMJ.RY0402.223554,LMJ.RY0402.230094,LMJ.RY0402.236270,LMJ.RY0402.243899,LMJ.RY0402.252016,LMJ.RY0402.039632,LMJ.RY0402.046346,LMJ.RY0402.147915,LMJ.RY0402.060047,LMJ.RY0402.196894,LMJ.RY0402.116678,LMJ.RY0402.196435,LMJ.RY0402.154865
LMJ.RY0402.046684,LMJ.RY0402.053157,LMJ.RY0402.059331,LMJ.RY0402.065907,LMJ.RY0402.079510,LMJ.RY0402.088484,LMJ.RY0402.099219,LMJ.RY0402.106615,LMJ.RY0402.114464,LMJ.RY0402.121712,LMJ.RY0402.128077,LMJ.RY0402.134319,LMJ.RY0402.141023,LMJ.RY0402.148031,LMJ.RY0402.162190,LMJ.RY0402.168593,LMJ.RY0402.176141,LMJ.RY0402.183130,LMJ.RY0402.190692,LMJ.RY0402.197922,LMJ.RY0402.205039,LMJ.RY0402.211460,LMJ.RY0402.216874,LMJ.RY0402.223571,LMJ.RY0402.230098,LMJ.RY0402.236293,LMJ.RY0402.243910,LMJ.RY0402.252038,LMJ.RY0402.039648,LMJ.RY0402.046382,LMJ.RY0402.148713,LMJ.RY0402.060103,LMJ.RY0402.197036,LMJ.RY0402.116959,LMJ.RY0402.197526,LMJ.RY0402.154874
LMJ.RY0402.046685,LMJ.RY0402.053174,LMJ.RY0402.059375,LMJ.RY0402.065964,LMJ.RY0402.079518,LMJ.RY0402.088485,LMJ.RY0402.099235,LMJ.RY0402.106646,LMJ.RY0402.114472,LMJ.RY0402.121714,LMJ.RY0402.128081,LMJ.RY0402.134333,LMJ.RY0402.141038,LMJ.RY0402.148035,LMJ.RY0402.162231,LMJ.RY0402.168623,LMJ.RY0402.176147,LMJ.RY0402.183135,LMJ.RY0402.190720,LMJ.RY0402.197944,LMJ.RY0402.205069,LMJ.RY0402.211466,LMJ.RY0402.216883,LMJ.RY0402.223575,LMJ.RY0402.230198,LMJ.RY0402.236306,LMJ.RY0402.243919,LMJ.RY0402.252059,LMJ.RY0402.039650,LMJ.RY0402.046384,LMJ.RY0402.148960,LMJ.RY0402.060656,LMJ.RY0402.197218,LMJ.RY0402.117931,LMJ.RY0402.197874,LMJ.RY0402.154897
LMJ.RY0402.046687,LMJ.RY0402.053179,LMJ.RY0402.059387,LMJ.RY0402.065996,LMJ.RY0402.079535,LMJ.RY0402.088487,LMJ.RY0402.099237,LMJ.RY0402.106650,LMJ.RY0402.114510,LMJ.RY0402.121737,LMJ.RY0402.128087,LMJ.RY0402.134339,LMJ.RY0402.141050,LMJ.RY0402.148052,LMJ.RY0402.162238,LMJ.RY0402.168632,LMJ.RY0402.176164,LMJ.RY0402.183174,LMJ.RY0402.190729,LMJ.RY0402.197947,LMJ.RY0402.205085,LMJ.RY0402.211470,LMJ.RY0402.216905,LMJ.RY0402.223582,LMJ.RY0402.230213,LMJ.RY0402.236329,LMJ.RY0402.243927,LMJ.RY0402.252073,LMJ.RY0402.039657,LMJ.RY0402.046388,LMJ.RY0402.149153,LMJ.RY0402.060675,LMJ.RY0402.198469,LMJ.RY0402.118399,LMJ.RY0402.197976,LMJ.RY0402.154911
LMJ.RY0402.046703,LMJ.RY0402.053189,LMJ.RY0402.059388,LMJ.RY0402.066000,LMJ.RY0402.079538,LMJ.RY0402.088494,LMJ.RY0402.099256,LMJ.RY0402.106678,LMJ.RY0402.114517,LMJ.RY0402.121747,LMJ.RY0402.128134,LMJ.RY0402.134349,LMJ.RY0402.141054,LMJ.RY0402.148088,LMJ.RY0402.162241,LMJ.RY0402.168639,LMJ.RY0402.176198,LMJ.RY0402.183210,LMJ.RY0402.190758,LMJ.RY0402.197951,LMJ.RY0402.205092,LMJ.RY0402.211478,LMJ.RY0402.216924,LMJ.RY0402.223596,LMJ.RY0402.230236,LMJ.RY0402.236339,LMJ.RY0402.243934,LMJ.RY0402.252078,LMJ.RY0402.039737,LMJ.RY0402.046390,LMJ.RY0402.150308,LMJ.RY0402.060706,LMJ.RY0402.198637,LMJ.RY0402.118749,LMJ.RY0402.198364,LMJ.RY0402.154934
LMJ.RY0402.046708,LMJ.RY0402.053211,LMJ.RY0402.059391,LMJ.RY0402.066030,LMJ.RY0402.079546,LMJ.RY0402.088514,LMJ.RY0402.099283,LMJ.RY0402.106688,LMJ.RY0402.114603,LMJ.RY0402.121748,LMJ.RY0402.128151,LMJ.RY0402.134360,LMJ.RY0402.141065,LMJ.RY0402.148154,LMJ.RY0402.162258,LMJ.RY0402.168658,LMJ.RY0402.176210,LMJ.RY0402.183213,LMJ.RY0402.190807,LMJ.RY0402.197952,LMJ.RY0402.205094,LMJ.RY0402.211480,LMJ.RY0402.216932,LMJ.RY0402.223619,LMJ.RY0402.230285,LMJ.RY0402.236349,LMJ.RY0402.243941,LMJ.RY0402.252127,LMJ.RY0402.039749,LMJ.RY0402.046402,LMJ.RY0402.150653,LMJ.RY0402.060712,LMJ.RY0402.198780,LMJ.RY0402.119131,LMJ.RY0402.198955,LMJ.RY0402.154968
LMJ.RY0402.046728,LMJ.RY0402.053235,LMJ.RY0402.059427,LMJ.RY0402.066051,LMJ.RY0402.079554,LMJ.RY0402.088534,LMJ.RY0402.099295,LMJ.RY0402.106702,LMJ.RY0402.114637,LMJ.RY0402.121764,LMJ.RY0402.128164,LMJ.RY0402.134375,LMJ.RY0402.141087,LMJ.RY0402.148155,LMJ.RY0402.162293,LMJ.RY0402.168674,LMJ.RY0402.176215,LMJ.RY0402.183241,LMJ.RY0402.190821,LMJ.RY0402.197956,LMJ.RY0402.205104,LMJ.RY0402.211486,LMJ.RY0402.216957,LMJ.RY0402.223638,LMJ.RY0402.230305,LMJ.RY0402.236353,LMJ.RY0402.243963,LMJ.RY0402.252145,LMJ.RY0402.039762,LMJ.RY0402.046407,LMJ.RY0402.150742,LMJ.RY0402.061211,LMJ.RY0402.198796,LMJ.RY0402.119477,LMJ.RY0402.199314,LMJ.RY0402.154969
LMJ.RY0402.046739,LMJ.RY0402.053258,LMJ.RY0402.059437,LMJ.RY0402.066060,LMJ.RY0402.079555,LMJ.RY0402.088555,LMJ.RY0402.099322,LMJ.RY0402.106723,LMJ.RY0402.114638,LMJ.RY0402.121773,LMJ.RY0402.128176,LMJ.RY0402.134399,LMJ.RY0402.141139,LMJ.RY0402.148167,LMJ.RY0402.162321,LMJ.RY0402.168697,LMJ.RY0402.176234,LMJ.RY0402.183256,LMJ.RY0402.190828,LMJ.RY0402.197981,LMJ.RY0402.205110,LMJ.RY0402.211500,LMJ.RY0402.216965,LMJ.RY0402.223665,LMJ.RY0402.230306,LMJ.RY0402.236359,LMJ.RY0402.243978,LMJ.RY0402.252157,LMJ.RY0402.039772,LMJ.RY0402.046408,LMJ.RY0402.150808,LMJ.RY0402.061724,LMJ.RY0402.198997,LMJ.RY0402.119524,LMJ.RY0402.199352,LMJ.RY0402.154999
